datetime,open,high,low,close,volume
2019-12-01T22:00:00.000000000Z,1.29098,1.29489,1.28966,1.29417,11705
2019-12-02T22:00:00.000000000Z,1.29403,1.30116,1.29305,1.29959,12392
2019-12-03T22:00:00.000000000Z,1.29950,1.31206,1.29829,1.31038,16717
2019-12-04T22:00:00.000000000Z,1.31038,1.31663,1.31032,1.31590,12018
2019-12-05T22:00:00.000000000Z,1.31574,1.31656,1.31006,1.31388,13343
2019-12-08T22:00:00.000000000Z,1.31388,1.31814,1.31360,1.31425,12499
2019-12-09T22:00:00.000000000Z,1.31431,1.32154,1.31328,1.31566,14674
2019-12-10T22:00:00.000000000Z,1.31532,1.32134,1.31077,1.31954,17108
2019-12-11T22:00:00.000000000Z,1.31968,1.32296,1.30511,1.31764,34349
2019-12-12T22:00:00.000000000Z,1.31704,1.35152,1.31638,1.33340,50318
2019-12-15T22:00:00.000000000Z,1.33404,1.34222,1.33213,1.33344,19986
2019-12-16T22:00:00.000000000Z,1.33332,1.33366,1.30996,1.31305,30831
2019-12-17T22:00:00.000000000Z,1.31268,1.31344,1.30600,1.30783,23812
2019-12-18T22:00:00.000000000Z,1.30809,1.31336,1.29898,1.30064,25385
2019-12-19T22:00:00.000000000Z,1.30094,1.30794,1.29787,1.30004,16565
2019-12-22T22:00:00.000000000Z,1.30020,1.30322,1.29050,1.29357,18022
2019-12-23T22:00:00.000000000Z,1.29357,1.29710,1.29150,1.29434,11843
2019-12-25T22:00:00.000000000Z,1.29424,1.30160,1.29424,1.29945,5978
2019-12-26T22:00:00.000000000Z,1.29952,1.31174,1.29686,1.30856,17495
2019-12-29T22:00:00.000000000Z,1.30928,1.31503,1.30756,1.31099,16431
